GeneName,KPN15_pOXA.48_1,KPN15_pOXA.48_2,KPN15_pOXA.48_3,PF_KPN04.1,PF_KPN04.2,PF_KPN04.3,TC_KPN04.1,TC_KPN04.2,TC_KPN04.3,PF_KPN10.1,PF_KPN10.2,TC_KPN10.1,TC_KPN10.2,PF_KPN07.1,PF_KPN07.2,PF_KPN07.3,TC_KPN07.1,TC_KPN07.2,TC_KPN07.3,PF_KPN15.1,PF_KPN15.2,TC_KPN15.1,TC_KPN15.2,TC_KPN15.3,PF_KPN18.1,PF_KPN18.2,PF_KPN18.3,TC_KPN18.1,TC_KPN18.2,TC_KPN18.3,51485,51486,51487,51488,51489,51490,51491,51492,51493,51494,51495,51496,51461,51462,51463,51464,51465,51466,51467,51468,51469,51470,51471,51472
aaeA,35.4054227581328,28.9608588206393,31.5804203476862,29.3922151297382,37.7388603230164,34.8996687742436,29.7995688787453,44.73065497194,10.7687345279005,42.4939637907721,30.803748018934,22.6904791116645,11.2371846869205,44.5295993336258,28.1296116849613,30.976729709967,17.4430420299964,30.7589363967403,39.7191086221341,72.581390817759,70.2350822075211,77.7391613129684,73.6659996965769,58.9692937276177,30.0167957006015,27.9941835099348,34.0404640847838,29.3849223263927,30.3636413997371,42.3088839968587,79.6273447590447,79.8314967298269,79.8998448563707,92.8341907947544,79.0288057208725,95.8355844122058,72.1432770376808,71.8187831794907,72.7132827054905,85.8449034101623,72.262482596233,71.8757706939068,89.5837353491882,91.4084423791272,76.0873085735005,85.7676753834299,87.5625266216508,90.8060267871297,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,83.1502863544126,83.6397485124693
aaeB,44.8890181397755,35.6607589955633,44.1684200666939,67.0142504958031,76.9841037261531,88.9378655859756,76.5659443156203,122.853056370039,25.6191668204084,63.9056509721689,52.3774921188372,49.2931097943056,28.7172497554634,74.5014450389509,47.9027278484488,49.7289262393723,38.8604480668275,55.7730130773578,68.8142611386519,74.2008538988855,70.5289528443726,70.0392824781601,79.864899866739,57.2517414831239,66.7633356330105,58.9304308919328,69.7333778824211,82.1969992222806,72.0643566987268,76.5051421787858,79.6273447590447,79.8314967298269,79.8998448563707,92.8341907947544,79.0288057208725,79.8629870101715,86.5719324452169,86.1825398153888,72.7132827054905,85.8449034101623,72.262482596233,86.2509248326882,89.5837353491882,76.173701982606,76.0873085735005,85.7676753834299,72.968772184709,90.8060267871297,84.2593028388524,97.4168673677748,83.9585421993719,71.5374195084686,97.0086674134814,83.6397485124693
aaeR,69.9678592601195,74.1311535483528,63.3816827957058,34.878761953956,32.9025778026298,37.7945721748721,32.6417242920361,36.7844907154477,33.5220284497547,39.3096615945644,42.4802590008404,33.0576807747526,28.8212977618237,44.6519333977292,42.4886603274939,41.1836214917952,33.340498057335,45.4801394193047,52.3954198845174,48.8783402667261,41.1418891592174,44.5704524861019,44.6897454127962,45.0857464179601,40.1648227168191,30.7579404806608,36.5742203111593,36.049543884956,38.4474680061606,46.2111597053068,111.478282662663,111.764095421758,111.859782798919,108.306555927213,110.640328009222,111.80818181424,101.000587852753,100.546296451287,101.798595787687,85.8449034101623,101.167475634726,100.62607897147,104.514357907386,106.643182775648,106.522232002901,100.062287947335,102.156281058593,105.940364584985,98.3025199786612,97.4168673677748,97.9516325659339,100.152387311856,97.0086674134814,97.5797065978809
accA,284.086368321208,272.534649050941,265.452204600831,393.30702805607,364.70327202915,296.56677059772,416.76333469436,365.523555798647,642.389752442578,201.928680649173,241.203355426238,648.439122889377,458.643612036531,214.451614373204,253.990385004797,245.202772340199,574.957992988743,343.135683460912,350.349097937487,216.566381121549,228.778290788934,269.347684625313,268.715114353071,268.940055616975,321.318581734553,537.238693728876,435.806070936584,506.006342878192,583.514264431961,492.097505128512,111.478282662663,111.764095421758,111.859782798919,108.306555927213,110.640328009222,111.80818181424,115.429243260289,114.910053087185,116.341252328785,100.152387311856,115.619972153973,115.001233110251,119.444980465584,121.87792317217,121.739693717601,114.35690051124,116.750035495534,121.07470238284,112.34573711847,97.4168673677748,111.944722932496,114.45987121355,97.0086674134814,111.519664683292
accB,133.613321599144,118.653070839783,131.621891798748,143.66914755416,137.477276890988,138.633707296765,171.132206248749,140.798888005488,471.045290962356,123.528964508058,109.203178897448,332.43507974374,259.911919888216,115.483356513579,151.476193466717,114.056081422522,417.860215718586,185.989833309472,170.828385107355,101.878950194501,117.548254740621,139.042042805481,134.93419905283,121.373691944223,234.045549395082,349.303219719505,347.014439699252,184.08492577668,229.0088927649,152.90759289156,95.5528137108536,111.764095421758,111.859782798919,108.306555927213,110.640328009222,111.80818181424,101.000587852753,100.546296451287,101.798595787687,100.152387311856,101.167475634726,100.62607897147,104.514357907386,106.643182775648,106.522232002901,100.062287947335,102.156281058593,105.940364584985,98.3025199786612,97.4168673677748,97.9516325659339,100.152387311856,97.0086674134814,97.5797065978809
accC,274.181279811492,245.302796727057,261.035362594161,333.973943114172,325.695878586032,272.120919659079,325.555983704212,233.385094005292,1831.98753924242,253.975551028568,266.446860120454,959.650780360569,847.679107817971,246.503139168286,345.441047260927,271.550795311895,1352.27735332548,380.716640770548,365.43994467842,211.413544045237,245.528917089472,242.842332482416,261.651251368468,274.092712350456,450.999684868113,840.449579452724,746.356453638867,369.381600927644,465.41152937714,354.388249206697,127.403751614472,127.730394767723,127.839751770193,123.778921059673,126.446089153396,127.780779216274,115.429243260289,129.273809723083,130.883908869883,114.45987121355,130.072468673219,115.001233110251,89.5837353491882,91.4084423791272,91.3047702882005,85.7676753834299,87.5625266216508,75.6716889892748,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,97.5797065978809
accD,322.652989539888,297.821369065977,301.67030905552,1027.70859941634,746.135324579637,888.8157579763,1654.6512060649,938.718775199555,1289.64280434937,760.93842136964,807.236125882462,1990.69832689146,1365.63008347992,669.289664709525,695.236887962622,770.976383892512,1834.94178215551,1690.30528689168,1653.95680280619,1171.75515115323,1143.00984203411,1139.73014214461,1113.92794453121,1193.41255121572,1763.40663140758,2155.99789751832,1842.81191977431,1835.295406468,1928.2883953859,1116.15354408218,111.478282662663,127.730394767723,127.839751770193,123.778921059673,126.446089153396,111.80818181424,129.857898667825,114.910053087185,116.341252328785,114.45987121355,115.619972153973,115.001233110251,119.444980465584,121.87792317217,121.739693717601,114.35690051124,116.750035495534,105.940364584985,112.34573711847,111.333562706028,111.944722932496,114.45987121355,110.86704847255,111.519664683292
aceA,657.318533229857,569.275389056447,606.432407515708,5.01627138214199,6.73908220053864,7.55891443497442,6.97619965080455,8.21401248985724,9.98713282829478,109.364309911134,71.2823194228761,3.32532883533014,18.3124491194259,50.4016344105875,68.0289353719986,86.9959497218614,8.94231901537792,5.86454429354192,6.27779224422789,9503.45103179951,8208.54156385599,5929.94322495323,3835.82176110865,4751.17889633075,4.37967481752549,4.45767253342911,7.49110536493623,6.56364244403961,6.21074483176441,2.8753610483302,63.7018758072358,63.8651973838615,47.9399069138224,61.8894605298363,47.4172834325235,47.9177922061029,72.1432770376808,71.8187831794907,72.7132827054905,85.8449034101623,72.262482596233,57.5006165551255,74.6531127909902,45.7042211895636,45.6523851441003,57.17845025562,58.3750177477672,60.5373511914198,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,83.6397485124693
aceE,6856.85020749171,6319.30261982591,7078.65184198871,638.007016416184,769.920320581538,685.770450015551,1443.38432034362,682.120167635971,1310.1381378057,752.373746497081,1024.53043501241,1096.18487018765,1148.68999021853,848.998404877372,859.188976151539,835.303539075662,1055.63523981535,1517.83981083058,1423.97229847438,1096.22928200615,1192.08623838832,1199.40420311437,1132.66880551077,1292.60119333523,4068.82472681819,1364.31525558131,1923.56162907576,813.992642175435,901.740999621414,1865.49317157023,159.254689518089,175.629292805619,175.779658684016,170.19601645705,158.057611441745,159.725974020343,144.286554075362,143.637566358981,145.426565410981,157.382322918631,144.524965192466,143.751541387814,149.30622558198,152.347403965212,167.392078861701,157.240738202955,145.937544369418,151.34337797855,140.432171398087,139.166953382535,139.93090366562,143.074839016937,138.583810590688,139.399580854115
acnA,733.187296282999,724.021470515982,782.22271938115,898.304473605146,982.875318118559,804.943973341424,1132.64199515717,2870.26166873838,973.702028442097,1292.2776740403,1508.7164237288,493.615724467977,784.730063969945,1326.71292520102,1026.55428082106,1291.40917997759,466.877371802879,688.066635583112,671.482316584529,9733.12034148654,10091.076863527,10558.9030760098,6747.43075498685,7842.20041900461,1213.38356712859,303.924113329196,301.076337681922,299.605032791777,316.945152922581,608.549627585885,159.254689518089,159.662993459654,143.819720741467,154.723651324591,142.251850297571,143.753376618309,129.857898667825,143.637566358981,130.883908869883,128.767355115244,130.072468673219,129.376387249032,164.236848140178,152.347403965212,136.957155432301,157.240738202955,145.937544369418,166.477715776404,126.388954258279,125.250258044282,125.937813299058,128.767355115244,124.725429531619,125.459622768704
acnB,4774.25266168297,4536.04854423565,4570.54810850149,1112.82845443206,1223.34162769778,1048.59834289432,1310.40589737026,998.09180026211,2288.61662107872,2200.24301405553,2083.75678837107,2038.91559500375,2704.62387733158,2113.44329144978,2076.29489428621,1926.72885100232,2361.21381606053,1662.65814950784,1519.34644987708,2854.9661881095,2949.28571144218,3344.70890616634,3012.37716176061,3040.92624887613,2791.02789347088,1193.40809064964,1092.59975013879,692.615746517964,818.142402520839,1064.70511961027,143.32922056628,143.696694113688,143.819720741467,139.251286192132,142.251850297571,143.753376618309,129.857898667825,143.637566358981,130.883908869883,128.767355115244,130.072468673219,129.376387249032,104.514357907386,106.643182775648,106.522232002901,100.062287947335,102.156281058593,105.940364584985,98.3025199786612,111.333562706028,97.9516325659339,100.152387311856,110.86704847255,111.519664683292
acrD,50.5791753687611,47.3315528486567,46.5976831703621,91.8604696854752,84.0403192067171,99.0700274881753,95.0830174628175,79.5509253093783,75.4679863285928,63.2468298281259,63.7203885012606,100.444491584825,78.0360047702809,65.9380605517152,53.4344924894245,59.4610788685574,94.8327411630819,101.492521651501,122.658402310299,42.2532640257542,40.70108320394,37.1667228372477,39.9324499333695,43.0819354660508,76.4840773011769,106.716680450293,84.2749353555326,127.435642528892,121.947481855438,95.2976804589439,79.6273447590447,79.8314967298269,79.8998448563707,92.8341907947544,94.834566865047,79.8629870101715,86.5719324452169,86.1825398153888,87.2559392465886,100.152387311856,86.7149791154796,86.2509248326882,89.5837353491882,91.4084423791272,91.3047702882005,85.7676753834299,87.5625266216508,90.8060267871297,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,97.0086674134814,83.6397485124693
acs,3044.23411750731,3280.14145015554,3134.8536142336,47.9680950917328,58.0353902446386,46.9617662768623,53.1396936363754,52.8553847173423,58.0990596706888,304.155761499842,413.126079026497,48.8040908479335,346.271765167326,325.286276450855,321.430834776692,258.258099037886,102.008676175422,33.9904199870593,33.9242234736161,13665.9128220439,13044.9175698404,14700.9936653577,9506.08549117804,10128.6918444869,133.740313940047,15.3343935149961,19.0582533549113,18.3781988433109,16.167653212847,27.9320787552077,127.403751614472,127.730394767723,111.859782798919,123.778921059673,126.446089153396,127.780779216274,86.5719324452169,100.546296451287,101.798595787687,100.152387311856,86.7149791154796,86.2509248326882,119.444980465584,121.87792317217,121.739693717601,128.651513075145,116.750035495534,136.209040180695,112.34573711847,111.333562706028,111.944722932496,114.45987121355,110.86704847255,111.519664683292
actP,128.976897190341,84.5051925288803,109.979365966068,5.80006378560168,5.94624900047527,6.7547746014665,4.22017015912868,7.76759876758239,5.90543506368735,23.2783470895186,24.6874803617449,4.3033667280743,25.5958095646521,20.9191249616759,22.7155441640064,18.7521965294053,16.5598500284776,3.23148359031902,2.89744257425903,1371.39078188119,1363.11894903593,2124.13003625625,1433.82002540539,1174.94886458741,26.812155590217,3.20952422406896,5.72849233789241,2.9283943211869,4.14049655450961,7.18840262082551,79.6273447590447,79.8314967298269,79.8998448563707,77.3618256622953,63.223044576698,79.8629870101715,72.1432770376808,71.8187831794907,72.7132827054905,71.5374195084686,57.8099860769864,71.8757706939068,74.6531127909902,76.173701982606,76.0873085735005,85.7676753834299,72.968772184709,75.6716889892748,84.2593028388524,97.4168673677748,83.9585421993719,85.8449034101623,83.1502863544126,83.6397485124693
ada,60.9057570065498,65.0538694403912,62.4983143943719,102.990321814603,100.848383048061,89.5811774527819,105.073624370143,132.76344100454,111.682198410323,85.8663557736015,93.5232927217455,94.8696755961834,96.9727419278691,91.0165436929056,94.5107873766693,83.9101452296808,89.9751851547285,86.8910032063558,86.9232772277708,138.832153227478,131.50710999107,130.45371641281,113.886770568093,119.369880992313,94.3232405823173,97.712181932766,72.8179506797478,104.109467073921,110.511824704887,128.056258116706,95.5528137108536,95.7977960757922,79.8998448563707,92.8341907947544,94.834566865047,95.8355844122058,86.5719324452169,86.1825398153888,87.2559392465886,85.8449034101623,86.7149791154796,86.2509248326882,89.5837353491882,91.4084423791272,91.3047702882005,85.7676753834299,87.5625266216508,90.8060267871297,84.2593028388524,83.5001720295213,83.9585421993719,85.8449034101623,83.1502863544126,83.6397485124693
